time_s,mode,person_id,x_m,y_m,z_m,state,activity
5.5,class_mode,14,3.238,6.35,0.04,sitting,writing
5.5,class_mode,15,6.149,6.35,0.04,sitting,writing
5.5,class_mode,16,6.996,6.35,0.04,sitting,writing
5.5,class_mode,17,2.351,7.25,0.04,sitting,writing
5.5,class_mode,18,3.238,7.25,0.04,sitting,writing
5.5,class_mode,19,6.996,7.25,0.04,sitting,writing
5.5,class_mode,20,7.843,7.25,0.04,sitting,writing
5.5,class_mode,21,1.464,8.15,0.04,sitting,writing
5.5,class_mode,22,3.238,8.15,0.04,sitting,writing
5.5,class_mode,23,6.149,8.15,0.04,sitting,writing
5.5,class_mode,24,7.843,8.15,0.04,sitting,writing
5.5,class_mode,25,1.464,9.05,0.145,sitting,writing
5.5,class_mode,26,2.351,9.05,0.145,sitting,writing
5.5,class_mode,27,6.996,9.05,0.145,sitting,writing
5.5,class_mode,28,7.843,9.05,0.145,sitting,writing
5.5,class_mode,29,2.351,9.95,0.25,sitting,writing
5.5,class_mode,30,3.238,9.95,0.25,sitting,writing
5.5,class_mode,31,6.149,9.95,0.25,sitting,writing
5.5,class_mode,32,7.956,9.95,0.25,sitting,writing
5.5,class_mode,33,1.464,10.85,0.355,sitting,writing
5.5,class_mode,34,3.238,10.85,0.355,sitting,writing
5.5,class_mode,35,6.996,10.85,0.355,sitting,writing
5.5,class_mode,36,7.843,10.85,0.355,sitting,writing
5.5,class_mode,37,1.464,11.75,0.46,sitting,writing
5.5,class_mode,38,2.351,11.75,0.46,sitting,writing
5.5,class_mode,39,6.149,11.75,0.46,sitting,writing
5.5,class_mode,40,6.996,11.75,0.46,sitting,writing
5.5,class_mode,41,2.351,12.65,0.565,sitting,writing
5.5,class_mode,42,6.149,12.65,0.565,sitting,writing
5.5,class_mode,43,6.996,12.65,0.565,sitting,writing
5.5,class_mode,44,7.843,12.65,0.565,sitting,writing
5.5,class_mode,45,1.459,13.55,0.67,sitting,writing
5.5,class_mode,46,3.382,13.55,0.67,sitting,writing
5.5,class_mode,47,5.935,13.55,0.67,sitting,writing
5.5,class_mode,48,8.644,13.55,0.67,standing,walking
5.5,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
5.75,class_mode,1,1.464,3.65,0.04,sitting,writing
5.75,class_mode,2,3.238,3.65,0.04,sitting,writing
5.75,class_mode,3,6.149,3.65,0.04,sitting,writing
5.75,class_mode,4,7.843,3.65,0.04,sitting,writing
5.75,class_mode,5,2.351,4.55,0.04,sitting,writing
5.75,class_mode,6,3.238,4.55,0.04,sitting,writing
5.75,class_mode,7,6.996,4.55,0.04,sitting,writing
5.75,class_mode,8,7.843,4.55,0.04,sitting,writing
5.75,class_mode,9,1.464,5.45,0.04,sitting,writing
5.75,class_mode,10,2.351,5.45,0.04,sitting,writing
5.75,class_mode,11,6.149,5.45,0.04,sitting,writing
5.75,class_mode,12,7.843,5.45,0.04,sitting,writing
5.75,class_mode,13,1.464,6.35,0.04,sitting,writing
5.75,class_mode,14,3.238,6.35,0.04,sitting,writing
5.75,class_mode,15,6.149,6.35,0.04,sitting,writing
5.75,class_mode,16,6.996,6.35,0.04,sitting,writing
5.75,class_mode,17,2.351,7.25,0.04,sitting,writing
5.75,class_mode,18,3.238,7.25,0.04,sitting,writing
5.75,class_mode,19,6.996,7.25,0.04,sitting,writing
5.75,class_mode,20,7.843,7.25,0.04,sitting,writing
5.75,class_mode,21,1.464,8.15,0.04,sitting,writing
5.75,class_mode,22,3.238,8.15,0.04,sitting,writing
5.75,class_mode,23,6.149,8.15,0.04,sitting,writing
5.75,class_mode,24,7.843,8.15,0.04,sitting,writing
5.75,class_mode,25,1.464,9.05,0.145,sitting,writing
5.75,class_mode,26,2.351,9.05,0.145,sitting,writing
5.75,class_mode,27,6.996,9.05,0.145,sitting,writing
5.75,class_mode,28,7.843,9.05,0.145,sitting,writing
5.75,class_mode,29,2.351,9.95,0.25,sitting,writing
5.75,class_mode,30,3.238,9.95,0.25,sitting,writing
5.75,class_mode,31,6.149,9.95,0.25,sitting,writing
5.75,class_mode,32,7.843,9.95,0.25,sitting,writing
5.75,class_mode,33,1.464,10.85,0.355,sitting,writing
5.75,class_mode,34,3.238,10.85,0.355,sitting,writing
5.75,class_mode,35,6.996,10.85,0.355,sitting,writing
5.75,class_mode,36,7.843,10.85,0.355,sitting,writing
5.75,class_mode,37,1.464,11.75,0.46,sitting,writing
5.75,class_mode,38,2.351,11.75,0.46,sitting,writing
5.75,class_mode,39,6.149,11.75,0.46,sitting,writing
5.75,class_mode,40,6.996,11.75,0.46,sitting,writing
5.75,class_mode,41,2.351,12.65,0.565,sitting,writing
5.75,class_mode,42,6.149,12.65,0.565,sitting,writing
5.75,class_mode,43,6.996,12.65,0.565,sitting,writing
5.75,class_mode,44,7.843,12.65,0.565,sitting,writing
5.75,class_mode,45,1.464,13.55,0.67,sitting,writing
5.75,class_mode,46,3.238,13.55,0.67,sitting,writing
5.75,class_mode,47,6.149,13.55,0.67,sitting,writing
5.75,class_mode,48,7.845,13.55,0.67,sitting,writing
5.75,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
6.0,class_mode,1,1.464,3.65,0.04,sitting,writing
6.0,class_mode,2,3.238,3.65,0.04,sitting,writing
6.0,class_mode,3,6.149,3.65,0.04,sitting,writing
6.0,class_mode,4,7.843,3.65,0.04,sitting,writing
6.0,class_mode,5,2.351,4.55,0.04,sitting,writing
6.0,class_mode,6,3.238,4.55,0.04,sitting,writing
6.0,class_mode,7,6.996,4.55,0.04,sitting,writing
6.0,class_mode,8,7.843,4.55,0.04,sitting,writing
6.0,class_mode,9,1.464,5.45,0.04,sitting,writing
6.0,class_mode,10,2.351,5.45,0.04,sitting,writing
6.0,class_mode,11,6.149,5.45,0.04,sitting,writing
6.0,class_mode,12,7.843,5.45,0.04,sitting,writing
6.0,class_mode,13,1.464,6.35,0.04,sitting,writing
6.0,class_mode,14,3.238,6.35,0.04,sitting,writing
6.0,class_mode,15,6.149,6.35,0.04,sitting,writing
6.0,class_mode,16,6.996,6.35,0.04,sitting,writing
6.0,class_mode,17,2.351,7.25,0.04,sitting,writing
6.0,class_mode,18,3.238,7.25,0.04,sitting,writing
6.0,class_mode,19,6.996,7.25,0.04,sitting,writing
6.0,class_mode,20,7.843,7.25,0.04,sitting,writing
6.0,class_mode,21,1.464,8.15,0.04,sitting,writing
6.0,class_mode,22,3.238,8.15,0.04,sitting,writing
6.0,class_mode,23,6.149,8.15,0.04,sitting,writing
6.0,class_mode,24,7.843,8.15,0.04,sitting,writing
6.0,class_mode,25,1.464,9.05,0.145,sitting,writing
6.0,class_mode,26,2.351,9.05,0.145,sitting,writing
6.0,class_mode,27,6.996,9.05,0.145,sitting,writing
6.0,class_mode,28,7.843,9.05,0.145,sitting,writing
6.0,class_mode,29,2.351,9.95,0.25,sitting,writing
6.0,class_mode,30,3.238,9.95,0.25,sitting,writing
6.0,class_mode,31,6.149,9.95,0.25,sitting,writing
6.0,class_mode,32,7.843,9.95,0.25,sitting,writing
6.0,class_mode,33,1.464,10.85,0.355,sitting,writing
6.0,class_mode,34,3.238,10.85,0.355,sitting,writing
6.0,class_mode,35,6.996,10.85,0.355,sitting,writing
6.0,class_mode,36,7.843,10.85,0.355,sitting,writing
6.0,class_mode,37,1.464,11.75,0.46,sitting,writing
6.0,class_mode,38,2.351,11.75,0.46,sitting,writing
6.0,class_mode,39,6.149,11.75,0.46,sitting,writing
6.0,class_mode,40,6.996,11.75,0.46,sitting,writing
6.0,class_mode,41,2.351,12.65,0.565,sitting,writing
6.0,class_mode,42,6.149,12.65,0.565,sitting,writing
6.0,class_mode,43,6.996,12.65,0.565,sitting,writing
6.0,class_mode,44,7.843,12.65,0.565,sitting,writing
6.0,class_mode,45,1.464,13.55,0.67,sitting,writing
6.0,class_mode,46,3.238,13.55,0.67,sitting,writing
6.0,class_mode,47,6.149,13.55,0.67,sitting,writing
6.0,class_mode,48,7.843,13.55,0.67,sitting,writing
6.0,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
6.25,class_mode,1,1.464,3.65,0.04,sitting,writing
6.25,class_mode,2,3.238,3.65,0.04,sitting,writing
6.25,class_mode,3,6.149,3.65,0.04,sitting,writing
6.25,class_mode,4,7.843,3.65,0.04,sitting,writing
6.25,class_mode,5,2.351,4.55,0.04,sitting,writing
6.25,class_mode,6,3.238,4.55,0.04,sitting,writing
6.25,class_mode,7,6.996,4.55,0.04,sitting,writing
6.25,class_mode,8,7.843,4.55,0.04,sitting,writing
6.25,class_mode,9,1.464,5.45,0.04,sitting,writing
6.25,class_mode,10,2.351,5.45,0.04,sitting,writing
6.25,class_mode,11,6.149,5.45,0.04,sitting,writing
6.25,class_mode,12,7.843,5.45,0.04,sitting,writing
6.25,class_mode,13,1.464,6.35,0.04,sitting,writing
6.25,class_mode,14,3.238,6.35,0.04,sitting,writing
6.25,class_mode,15,6.149,6.35,0.04,sitting,writing
6.25,class_mode,16,6.996,6.35,0.04,sitting,writing
6.25,class_mode,17,2.351,7.25,0.04,sitting,writing
6.25,class_mode,18,3.238,7.25,0.04,sitting,writing
6.25,class_mode,19,6.996,7.25,0.04,sitting,writing
6.25,class_mode,20,7.843,7.25,0.04,sitting,writing
6.25,class_mode,21,1.464,8.15,0.04,sitting,writing
6.25,class_mode,22,3.238,8.15,0.04,sitting,writing
6.25,class_mode,23,6.149,8.15,0.04,sitting,writing
6.25,class_mode,24,7.843,8.15,0.04,sitting,writing
6.25,class_mode,25,1.464,9.05,0.145,sitting,writing
6.25,class_mode,26,2.351,9.05,0.145,sitting,writing
6.25,class_mode,27,6.996,9.05,0.145,sitting,writing
6.25,class_mode,28,7.843,9.05,0.145,sitting,writing
6.25,class_mode,29,2.351,9.95,0.25,sitting,writing
6.25,class_mode,30,3.238,9.95,0.25,sitting,writing
6.25,class_mode,31,6.149,9.95,0.25,sitting,writing
6.25,class_mode,32,7.843,9.95,0.25,sitting,writing
6.25,class_mode,33,1.464,10.85,0.355,sitting,writing
6.25,class_mode,34,3.238,10.85,0.355,sitting,writing
6.25,class_mode,35,6.996,10.85,0.355,sitting,writing
6.25,class_mode,36,7.843,10.85,0.355,sitting,writing
6.25,class_mode,37,1.464,11.75,0.46,sitting,writing
6.25,class_mode,38,2.351,11.75,0.46,sitting,writing
6.25,class_mode,39,6.149,11.75,0.46,sitting,writing
6.25,class_mode,40,6.996,11.75,0.46,sitting,writing
6.25,class_mode,41,2.351,12.65,0.565,sitting,writing
6.25,class_mode,42,6.149,12.65,0.565,sitting,writing
6.25,class_mode,43,6.996,12.65,0.565,sitting,writing
6.25,class_mode,44,7.843,12.65,0.565,sitting,writing
6.25,class_mode,45,1.464,13.55,0.67,sitting,writing
6.25,class_mode,46,3.238,13.55,0.67,sitting,writing
6.25,class_mode,47,6.149,13.55,0.67,sitting,writing
6.25,class_mode,48,7.843,13.55,0.67,sitting,writing
6.25,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
6.5,class_mode,1,1.464,3.65,0.04,sitting,writing
6.5,class_mode,2,3.238,3.65,0.04,sitting,writing
6.5,class_mode,3,6.149,3.65,0.04,sitting,writing
6.5,class_mode,4,7.843,3.65,0.04,sitting,writing
6.5,class_mode,5,2.351,4.55,0.04,sitting,writing
6.5,class_mode,6,3.238,4.55,0.04,sitting,writing
6.5,class_mode,7,6.996,4.55,0.04,sitting,writing
6.5,class_mode,8,7.843,4.55,0.04,sitting,writing
6.5,class_mode,9,1.464,5.45,0.04,sitting,writing
6.5,class_mode,10,2.351,5.45,0.04,sitting,writing
6.5,class_mode,11,6.149,5.45,0.04,sitting,writing
6.5,class_mode,12,7.843,5.45,0.04,sitting,writing
6.5,class_mode,13,1.464,6.35,0.04,sitting,writing
6.5,class_mode,14,3.238,6.35,0.04,sitting,writing
6.5,class_mode,15,6.149,6.35,0.04,sitting,writing
6.5,class_mode,16,6.996,6.35,0.04,sitting,writing
6.5,class_mode,17,2.351,7.25,0.04,sitting,writing
6.5,class_mode,18,3.238,7.25,0.04,sitting,writing
6.5,class_mode,19,6.996,7.25,0.04,sitting,writing
6.5,class_mode,20,7.843,7.25,0.04,sitting,writing
6.5,class_mode,21,1.464,8.15,0.04,sitting,writing
6.5,class_mode,22,3.238,8.15,0.04,sitting,writing
6.5,class_mode,23,6.149,8.15,0.04,sitting,writing
6.5,class_mode,24,7.843,8.15,0.04,sitting,writing
6.5,class_mode,25,1.464,9.05,0.145,sitting,writing
6.5,class_mode,26,2.351,9.05,0.145,sitting,writing
6.5,class_mode,27,6.996,9.05,0.145,sitting,writing
6.5,class_mode,28,7.843,9.05,0.145,sitting,writing
6.5,class_mode,29,2.351,9.95,0.25,sitting,writing
6.5,class_mode,30,3.238,9.95,0.25,sitting,writing
6.5,class_mode,31,6.149,9.95,0.25,sitting,writing
6.5,class_mode,32,7.843,9.95,0.25,sitting,writing
6.5,class_mode,33,1.464,10.85,0.355,sitting,writing
6.5,class_mode,34,3.238,10.85,0.355,sitting,writing
6.5,class_mode,35,6.996,10.85,0.355,sitting,writing
6.5,class_mode,36,7.843,10.85,0.355,sitting,writing
6.5,class_mode,37,1.464,11.75,0.46,sitting,writing
6.5,class_mode,38,2.351,11.75,0.46,sitting,writing
6.5,class_mode,39,6.149,11.75,0.46,sitting,writing
6.5,class_mode,40,6.996,11.75,0.46,sitting,writing
6.5,class_mode,41,2.351,12.65,0.565,sitting,writing
6.5,class_mode,42,6.149,12.65,0.565,sitting,writing
6.5,class_mode,43,6.996,12.65,0.565,sitting,writing
6.5,class_mode,44,7.843,12.65,0.565,sitting,writing
6.5,class_mode,45,1.464,13.55,0.67,sitting,writing
6.5,class_mode,46,3.238,13.55,0.67,sitting,writing
6.5,class_mode,47,6.149,13.55,0.67,sitting,writing
6.5,class_mode,48,7.843,13.55,0.67,sitting,writing
6.5,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
6.75,class_mode,1,1.464,3.65,0.04,sitting,writing
6.75,class_mode,2,3.238,3.65,0.04,sitting,writing
6.75,class_mode,3,6.149,3.65,0.04,sitting,writing
6.75,class_mode,4,7.843,3.65,0.04,sitting,writing
6.75,class_mode,5,2.351,4.55,0.04,sitting,writing
6.75,class_mode,6,3.238,4.55,0.04,sitting,writing
6.75,class_mode,7,6.996,4.55,0.04,sitting,writing
6.75,class_mode,8,7.843,4.55,0.04,sitting,writing
6.75,class_mode,9,1.464,5.45,0.04,sitting,writing
6.75,class_mode,10,2.351,5.45,0.04,sitting,writing
6.75,class_mode,11,6.149,5.45,0.04,sitting,writing
6.75,class_mode,12,7.843,5.45,0.04,sitting,writing
6.75,class_mode,13,1.464,6.35,0.04,sitting,writing
6.75,class_mode,14,3.238,6.35,0.04,sitting,writing
6.75,class_mode,15,6.149,6.35,0.04,sitting,writing
6.75,class_mode,16,6.996,6.35,0.04,sitting,writing
6.75,class_mode,17,2.351,7.25,0.04,sitting,writing
6.75,class_mode,18,3.238,7.25,0.04,sitting,writing
6.75,class_mode,19,6.996,7.25,0.04,sitting,writing
6.75,class_mode,20,7.843,7.25,0.04,sitting,writing
6.75,class_mode,21,1.464,8.15,0.04,sitting,writing
6.75,class_mode,22,3.238,8.15,0.04,sitting,writing
6.75,class_mode,23,6.149,8.15,0.04,sitting,writing
6.75,class_mode,24,7.843,8.15,0.04,sitting,writing
6.75,class_mode,25,1.464,9.05,0.145,sitting,writing
6.75,class_mode,26,2.351,9.05,0.145,sitting,writing
6.75,class_mode,27,6.996,9.05,0.145,sitting,writing
6.75,class_mode,28,7.843,9.05,0.145,sitting,writing
6.75,class_mode,29,2.351,9.95,0.25,sitting,writing
6.75,class_mode,30,3.238,9.95,0.25,sitting,writing
6.75,class_mode,31,6.149,9.95,0.25,sitting,writing
6.75,class_mode,32,7.843,9.95,0.25,sitting,writing
6.75,class_mode,33,1.464,10.85,0.355,sitting,writing
6.75,class_mode,34,3.238,10.85,0.355,sitting,writing
6.75,class_mode,35,6.996,10.85,0.355,sitting,writing
6.75,class_mode,36,7.843,10.85,0.355,sitting,writing
6.75,class_mode,37,1.464,11.75,0.46,sitting,writing
6.75,class_mode,38,2.351,11.75,0.46,sitting,writing
6.75,class_mode,39,6.149,11.75,0.46,sitting,writing
6.75,class_mode,40,6.996,11.75,0.46,sitting,writing
6.75,class_mode,41,2.351,12.65,0.565,sitting,writing
6.75,class_mode,42,6.149,12.65,0.565,sitting,writing
6.75,class_mode,43,6.996,12.65,0.565,sitting,writing
6.75,class_mode,44,7.843,12.65,0.565,sitting,writing
6.75,class_mode,45,1.464,13.55,0.67,sitting,writing
6.75,class_mode,46,3.238,13.55,0.67,sitting,writing
6.75,class_mode,47,6.149,13.55,0.67,sitting,writing
6.75,class_mode,48,7.843,13.55,0.67,sitting,writing
6.75,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
7.0,class_mode,1,1.464,3.65,0.04,sitting,writing
7.0,class_mode,2,3.238,3.65,0.04,sitting,writing
7.0,class_mode,3,6.149,3.65,0.04,sitting,writing
7.0,class_mode,4,7.843,3.65,0.04,sitting,writing
7.0,class_mode,5,2.351,4.55,0.04,sitting,writing
7.0,class_mode,6,3.238,4.55,0.04,sitting,writing
7.0,class_mode,7,6.996,4.55,0.04,sitting,writing
7.0,class_mode,8,7.843,4.55,0.04,sitting,writing
7.0,class_mode,9,1.464,5.45,0.04,sitting,writing
7.0,class_mode,10,2.351,5.45,0.04,sitting,writing
7.0,class_mode,11,6.149,5.45,0.04,sitting,writing
7.0,class_mode,12,7.843,5.45,0.04,sitting,writing
7.0,class_mode,13,1.464,6.35,0.04,sitting,writing
7.0,class_mode,14,3.238,6.35,0.04,sitting,writing
7.0,class_mode,15,6.149,6.35,0.04,sitting,writing
7.0,class_mode,16,6.996,6.35,0.04,sitting,writing
7.0,class_mode,17,2.351,7.25,0.04,sitting,writing
7.0,class_mode,18,3.238,7.25,0.04,sitting,writing
7.0,class_mode,19,6.996,7.25,0.04,sitting,writing
7.0,class_mode,20,7.843,7.25,0.04,sitting,writing
7.0,class_mode,21,1.464,8.15,0.04,sitting,writing
7.0,class_mode,22,3.238,8.15,0.04,sitting,writing
7.0,class_mode,23,6.149,8.15,0.04,sitting,writing
7.0,class_mode,24,7.843,8.15,0.04,sitting,writing
7.0,class_mode,25,1.464,9.05,0.145,sitting,writing
7.0,class_mode,26,2.351,9.05,0.145,sitting,writing
7.0,class_mode,27,6.996,9.05,0.145,sitting,writing
7.0,class_mode,28,7.843,9.05,0.145,sitting,writing
7.0,class_mode,29,2.351,9.95,0.25,sitting,writing
7.0,class_mode,30,3.238,9.95,0.25,sitting,writing
7.0,class_mode,31,6.149,9.95,0.25,sitting,writing
7.0,class_mode,32,7.843,9.95,0.25,sitting,writing
7.0,class_mode,33,1.464,10.85,0.355,sitting,writing
7.0,class_mode,34,3.238,10.85,0.355,sitting,writing
7.0,class_mode,35,6.996,10.85,0.355,sitting,writing
7.0,class_mode,36,7.843,10.85,0.355,sitting,writing
7.0,class_mode,37,1.464,11.75,0.46,sitting,writing
7.0,class_mode,38,2.351,11.75,0.46,sitting,writing
7.0,class_mode,39,6.149,11.75,0.46,sitting,writing
7.0,class_mode,40,6.996,11.75,0.46,sitting,writing
7.0,class_mode,41,2.351,12.65,0.565,sitting,writing
7.0,class_mode,42,6.149,12.65,0.565,sitting,writing
7.0,class_mode,43,6.996,12.65,0.565,sitting,writing
7.0,class_mode,44,7.843,12.65,0.565,sitting,writing
7.0,class_mode,45,1.464,13.55,0.67,sitting,writing
7.0,class_mode,46,3.238,13.55,0.67,sitting,writing
7.0,class_mode,47,6.149,13.55,0.67,sitting,writing
7.0,class_mode,48,7.843,13.55,0.67,sitting,writing
7.0,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
7.25,class_mode,1,1.464,3.65,0.04,sitting,writing
7.25,class_mode,2,3.238,3.65,0.04,sitting,writing
7.25,class_mode,3,6.149,3.65,0.04,sitting,writing
7.25,class_mode,4,7.843,3.65,0.04,sitting,writing
7.25,class_mode,5,2.351,4.55,0.04,sitting,writing
7.25,class_mode,6,3.238,4.55,0.04,sitting,writing
7.25,class_mode,7,6.996,4.55,0.04,sitting,writing
7.25,class_mode,8,7.843,4.55,0.04,sitting,writing
7.25,class_mode,9,1.464,5.45,0.04,sitting,writing
7.25,class_mode,10,2.351,5.45,0.04,sitting,writing
7.25,class_mode,11,6.149,5.45,0.04,sitting,writing
7.25,class_mode,12,7.843,5.45,0.04,sitting,writing
7.25,class_mode,13,1.464,6.35,0.04,sitting,writing
7.25,class_mode,14,3.238,6.35,0.04,sitting,writing
7.25,class_mode,15,6.149,6.35,0.04,sitting,writing
7.25,class_mode,16,6.996,6.35,0.04,sitting,writing
7.25,class_mode,17,2.351,7.25,0.04,sitting,writing
7.25,class_mode,18,3.238,7.25,0.04,sitting,writing
7.25,class_mode,19,6.996,7.25,0.04,sitting,writing
7.25,class_mode,20,7.843,7.25,0.04,sitting,writing
7.25,class_mode,21,1.464,8.15,0.04,sitting,writing
7.25,class_mode,22,3.238,8.15,0.04,sitting,writing
7.25,class_mode,23,6.149,8.15,0.04,sitting,writing
7.25,class_mode,24,7.843,8.15,0.04,sitting,writing
7.25,class_mode,25,1.464,9.05,0.145,sitting,writing
7.25,class_mode,26,2.351,9.05,0.145,sitting,writing
7.25,class_mode,27,6.996,9.05,0.145,sitting,writing
7.25,class_mode,28,7.843,9.05,0.145,sitting,writing
7.25,class_mode,29,2.351,9.95,0.25,sitting,writing
7.25,class_mode,30,3.238,9.95,0.25,sitting,writing
7.25,class_mode,31,6.149,9.95,0.25,sitting,writing
7.25,class_mode,32,7.843,9.95,0.25,sitting,writing
7.25,class_mode,33,1.464,10.85,0.355,sitting,writing
7.25,class_mode,34,3.238,10.85,0.355,sitting,writing
7.25,class_mode,35,6.996,10.85,0.355,sitting,writing
7.25,class_mode,36,7.843,10.85,0.355,sitting,writing
7.25,class_mode,37,1.464,11.75,0.46,sitting,writing
7.25,class_mode,38,2.351,11.75,0.46,sitting,writing
7.25,class_mode,39,6.149,11.75,0.46,sitting,writing
7.25,class_mode,40,6.996,11.75,0.46,sitting,writing
7.25,class_mode,41,2.351,12.65,0.565,sitting,writing
7.25,class_mode,42,6.149,12.65,0.565,sitting,writing
7.25,class_mode,43,6.996,12.65,0.565,sitting,writing
7.25,class_mode,44,7.843,12.65,0.565,sitting,writing
7.25,class_mode,45,1.464,13.55,0.67,sitting,writing
7.25,class_mode,46,3.238,13.55,0.67,sitting,writing
7.25,class_mode,47,6.149,13.55,0.67,sitting,writing
7.25,class_mode,48,7.843,13.55,0.67,sitting,writing
7.25,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
7.5,class_mode,1,1.464,3.65,0.04,sitting,writing
7.5,class_mode,2,3.238,3.65,0.04,sitting,writing
7.5,class_mode,3,6.149,3.65,0.04,sitting,writing
7.5,class_mode,4,7.843,3.65,0.04,sitting,writing
7.5,class_mode,5,2.351,4.55,0.04,sitting,writing
7.5,class_mode,6,3.238,4.55,0.04,sitting,writing
7.5,class_mode,7,6.996,4.55,0.04,sitting,writing
7.5,class_mode,8,7.843,4.55,0.04,sitting,writing
7.5,class_mode,9,1.464,5.45,0.04,sitting,writing
7.5,class_mode,10,2.351,5.45,0.04,sitting,writing
7.5,class_mode,11,6.149,5.45,0.04,sitting,writing
7.5,class_mode,12,7.843,5.45,0.04,sitting,writing
7.5,class_mode,13,1.464,6.35,0.04,sitting,writing
7.5,class_mode,14,3.238,6.35,0.04,sitting,writing
7.5,class_mode,15,6.149,6.35,0.04,sitting,writing
7.5,class_mode,16,6.996,6.35,0.04,sitting,writing
7.5,class_mode,17,2.351,7.25,0.04,sitting,writing
7.5,class_mode,18,3.238,7.25,0.04,sitting,writing
7.5,class_mode,19,6.996,7.25,0.04,sitting,writing
7.5,class_mode,20,7.843,7.25,0.04,sitting,writing
7.5,class_mode,21,1.464,8.15,0.04,sitting,writing
7.5,class_mode,22,3.238,8.15,0.04,sitting,writing
7.5,class_mode,23,6.149,8.15,0.04,sitting,writing
7.5,class_mode,24,7.843,8.15,0.04,sitting,writing
7.5,class_mode,25,1.464,9.05,0.145,sitting,writing
7.5,class_mode,26,2.351,9.05,0.145,sitting,writing
7.5,class_mode,27,6.996,9.05,0.145,sitting,writing
7.5,class_mode,28,7.843,9.05,0.145,sitting,writing
7.5,class_mode,29,2.351,9.95,0.25,sitting,writing
7.5,class_mode,30,3.238,9.95,0.25,sitting,writing
7.5,class_mode,31,6.149,9.95,0.25,sitting,writing
7.5,class_mode,32,7.843,9.95,0.25,sitting,writing
7.5,class_mode,33,1.464,10.85,0.355,sitting,writing
7.5,class_mode,34,3.238,10.85,0.355,sitting,writing
7.5,class_mode,35,6.996,10.85,0.355,sitting,writing
7.5,class_mode,36,7.843,10.85,0.355,sitting,writing
7.5,class_mode,37,1.464,11.75,0.46,sitting,writing
7.5,class_mode,38,2.351,11.75,0.46,sitting,writing
7.5,class_mode,39,6.149,11.75,0.46,sitting,writing
7.5,class_mode,40,6.996,11.75,0.46,sitting,writing
7.5,class_mode,41,2.351,12.65,0.565,sitting,writing
7.5,class_mode,42,6.149,12.65,0.565,sitting,writing
7.5,class_mode,43,6.996,12.65,0.565,sitting,writing
7.5,class_mode,44,7.843,12.65,0.565,sitting,writing
7.5,class_mode,45,1.464,13.55,0.67,sitting,writing
7.5,class_mode,46,3.238,13.55,0.67,sitting,writing
7.5,class_mode,47,6.149,13.55,0.67,sitting,writing
7.5,class_mode,48,7.843,13.55,0.67,sitting,writing
7.5,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
7.75,class_mode,1,1.464,3.65,0.04,sitting,writing
7.75,class_mode,2,3.238,3.65,0.04,sitting,writing
7.75,class_mode,3,6.149,3.65,0.04,sitting,writing
7.75,class_mode,4,7.843,3.65,0.04,sitting,writing
7.75,class_mode,5,2.351,4.55,0.04,sitting,writing
7.75,class_mode,6,3.238,4.55,0.04,sitting,writing
7.75,class_mode,7,6.996,4.55,0.04,sitting,writing
7.75,class_mode,8,7.843,4.55,0.04,sitting,writing
7.75,class_mode,9,1.464,5.45,0.04,sitting,writing
7.75,class_mode,10,2.351,5.45,0.04,sitting,writing
7.75,class_mode,11,6.149,5.45,0.04,sitting,writing
7.75,class_mode,12,7.843,5.45,0.04,sitting,writing
7.75,class_mode,13,1.464,6.35,0.04,sitting,writing
7.75,class_mode,14,3.238,6.35,0.04,sitting,writing
7.75,class_mode,15,6.149,6.35,0.04,sitting,writing
7.75,class_mode,16,6.996,6.35,0.04,sitting,writing
7.75,class_mode,17,2.351,7.25,0.04,sitting,writing
7.75,class_mode,18,3.238,7.25,0.04,sitting,writing
7.75,class_mode,19,6.996,7.25,0.04,sitting,writing
7.75,class_mode,20,7.843,7.25,0.04,sitting,writing
7.75,class_mode,21,1.464,8.15,0.04,sitting,writing
7.75,class_mode,22,3.238,8.15,0.04,sitting,writing
7.75,class_mode,23,6.149,8.15,0.04,sitting,writing
7.75,class_mode,24,7.843,8.15,0.04,sitting,writing
7.75,class_mode,25,1.464,9.05,0.145,sitting,writing
7.75,class_mode,26,2.351,9.05,0.145,sitting,writing
7.75,class_mode,27,6.996,9.05,0.145,sitting,writing
7.75,class_mode,28,7.843,9.05,0.145,sitting,writing
7.75,class_mode,29,2.351,9.95,0.25,sitting,writing
7.75,class_mode,30,3.238,9.95,0.25,sitting,writing
7.75,class_mode,31,6.149,9.95,0.25,sitting,writing
7.75,class_mode,32,7.843,9.95,0.25,sitting,writing
7.75,class_mode,33,1.464,10.85,0.355,sitting,writing
7.75,class_mode,34,3.238,10.85,0.355,sitting,writing
7.75,class_mode,35,6.996,10.85,0.355,sitting,writing
7.75,class_mode,36,7.843,10.85,0.355,sitting,writing
